ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
done,253,4.483,89.7
integrated,178,4.505,90.1
being,452,4.522,90.4
sure,77,4.510,90.2
techfest,120,4.625,92.5
bit,284,4.498,90.0
four,86,4.556,91.1
around,1183,4.540,90.8
what,315,4.475,89.5
indigo,167,4.653,93.1
mass,13,4.477,89.5
other,1929,4.543,90.9
better,526,4.511,90.2
years,480,4.524,90.5
godrej,21,4.612,92.2
top,1403,4.542,90.8
cse,200,4.574,91.5
open,424,4.556,91.1
feel,173,4.508,90.2
mess,1166,4.563,91.3
hiring,48,4.495,89.9
classroom,226,4.547,90.9
quite,540,4.511,90.2
pattern,34,4.459,89.2
consulting,395,4.522,90.4
no,677,4.498,90.0
s,1230,4.540,90.8
level,390,4.510,90.2
so,1096,4.535,90.7
after,397,4.479,89.6
equipped,584,4.585,91.7
campus,2070,4.542,90.8
is,2086,4.545,90.9
thrown,2,4.300,86.0
examination,44,4.503,90.1
regards,4,4.650,93.0
very,1833,4.542,90.8
fazil,4,4.700,94.0
come,456,4.547,90.9
recruitment,113,4.513,90.3
support,220,4.564,91.3
stress,38,4.533,90.7
class,687,4.606,92.1
access,183,4.589,91.8
google,721,4.580,91.6
did,147,4.570,91.4
samsung,177,4.577,91.5
easily,286,4.573,91.5
options,141,4.611,92.2
science,850,4.551,91.0
practical,336,4.647,92.9
pass,603,4.490,89.8
ml,46,4.439,88.8
found,1061,4.550,91.0
accessible,71,4.530,90.6
recreational,31,4.676,93.5
ashraf,6,4.767,95.3
rate,177,4.465,89.3
teachers,1332,4.520,90.4
world,619,4.570,91.4
medical,764,4.549,91.0
grounds,237,4.561,91.2
hygienic,157,4.577,91.5
rooms,787,4.551,91.0
microsoft,753,4.563,91.3
emerging,25,4.536,90.7
amazon,415,4.586,91.7
hostels,1093,4.543,90.9
overall,589,4.559,91.2
quality,1250,4.553,91.1
f,30,4.560,91.2
approximately,241,4.548,91.0
challenging,67,4.588,91.8
focus,123,4.594,91.9
housekeeping,4,4.700,94.0
experienced,297,4.564,91.3
candidates,46,4.610,92.2
r,250,4.578,91.6
nvidia,45,4.467,89.3
ai,72,4.544,90.9
systems,101,4.605,92.1
knowledge,734,4.562,91.2
depth,53,4.587,91.7
internet,298,4.577,91.5
moderately,34,4.535,90.7
two,331,4.559,91.2
experience,691,4.577,91.5
aug,180,4.534,90.7
boasted,4,4.700,94.0
topics,129,4.493,89.9
computer,687,4.574,91.5
d,460,4.496,89.9
x,207,4.621,92.4
clean,325,4.485,89.7
practically,35,4.629,92.6
excellent,770,4.574,91.5
adobe,142,4.571,91.4
qualcomm,123,4.592,91.8
high,861,4.557,91.1
sports,1482,4.554,91.1
canteen,663,4.537,90.7
smart,115,4.474,89.5
requiring,12,4.567,91.3
theoretical,73,4.605,92.1
lowest,992,4.533,90.7
apple,100,4.562,91.2
annum,536,4.579,91.6
crores,329,4.606,92.1
chose,491,4.491,89.8
give,325,4.558,91.2
delicious,57,4.523,90.5
sai,50,4.408,88.2
because,846,4.524,90.5
makes,528,4.566,91.3
jul,220,4.550,91.0
easy,408,4.529,90.6
every,1282,4.563,91.3
knowledgeable,839,4.544,90.9
thing,431,4.512,90.2
per,839,4.557,91.1
best,1563,4.567,91.3
flipkart,196,4.642,92.8
metallurgical,78,4.538,90.8
our,1409,4.544,90.9
materials,193,4.610,92.2
useful,207,4.580,91.6
interesting,179,4.511,90.2
relevant,711,4.524,90.5
skills,318,4.550,91.0
difficult,611,4.523,90.5
increased,43,4.572,91.4
bhogalapalli,2,4.700,94.0
almost,881,4.571,91.4
usually,155,4.523,90.5
exam,385,4.480,89.6
jun,323,4.568,91.4
gone,16,4.413,88.2
back,47,4.334,86.7
number,377,4.544,90.9
write,29,4.600,92.0
big,516,4.540,90.8
future,245,4.541,90.8
canteens,262,4.610,92.2
intellectual,20,4.680,93.6
originally,4,4.500,90.0
affordable,79,4.550,91.0
prepare,109,4.523,90.5
problem,201,4.537,90.7
passed,100,4.559,91.2
by,1189,4.529,90.6
been,341,4.518,90.4
score,150,4.515,90.3
resources,94,4.562,91.2
marks,183,4.575,91.5
hope,12,4.600,92.0
also,1675,4.547,90.9
main,190,4.495,89.9
individuals,18,4.356,87.1
somewhere,38,4.534,90.7
adjustable,6,4.633,92.7
single,236,4.544,90.9
test,59,4.508,90.2
who,736,4.536,90.7
patents,12,4.667,93.3
lucky,20,4.730,94.6
comfortable,110,4.565,91.3
entrance,22,4.500,90.0
throughout,228,4.570,91.4
sandesh,2,4.700,94.0
teach,459,4.552,91.0
which,1328,4.540,90.8
served,289,4.588,91.8
intended,6,4.533,90.7
maintained,392,4.514,90.3
hold,50,4.582,91.6
senior,171,4.648,93.0
somewhat,48,4.521,90.4
abroad,121,4.616,92.3
versed,32,4.448,89.0
famous,138,4.554,91.1
tough,378,4.535,90.7
iitb,150,4.662,93.2
quant,88,4.453,89.1
tasty,106,4.369,87.4
us,630,4.551,91.0
first,449,4.550,91.0
dream,215,4.511,90.2
were,1129,4.527,90.5
total,227,4.502,90.0
only,711,4.488,89.8
built,125,4.565,91.3
taught,227,4.505,90.1
rest,157,4.546,90.9
became,9,4.267,85.3
designed,267,4.538,90.8
most,1073,4.550,91.0
shared,48,4.521,90.4
visit,434,4.551,91.0
challenges,38,4.436,88.7
clear,153,4.526,90.5
perspective,38,4.534,90.7
mechanical,510,4.571,91.4
problems,189,4.513,90.3
tata,262,4.554,91.1
etc,1241,4.579,91.6
sumit,46,4.347,86.9
sometimes,260,4.464,89.3
builder,4,4.300,86.0
one,1259,4.567,91.3
cleanliness,33,4.570,91.4
choices,34,4.512,90.2
supply,75,4.463,89.3
water,140,4.468,89.4
kumar,404,4.613,92.3
offers,525,4.527,90.5
eicher,4,4.500,90.0
biggest,219,4.628,92.6
fantastic,52,4.599,92.0
friends,138,4.596,91.9
enhance,37,4.605,92.1
not,1457,4.514,90.3
make,493,4.489,89.8
electricity,39,4.615,92.3
regular,150,4.596,91.9
hygiene,56,4.585,91.7
packages,385,4.546,90.9
anand,35,4.599,92.0
speed,544,4.585,91.7
roles,826,4.551,91.0
provide,432,4.563,91.3
organised,236,4.591,91.8
organise,24,4.608,92.2
rs,251,4.544,90.9
just,454,4.520,90.4
am,587,4.538,90.8
educational,34,4.625,92.5
policies,16,4.650,93.0
experiments,76,4.451,89.0
mbps,127,4.617,92.3
huge,425,4.572,91.4
provides,669,4.564,91.3
rhea,4,4.800,96.0
courses,861,4.559,91.2
industy,2,4.600,92.0
trips,29,4.579,91.6
gets,231,4.594,91.9
style,68,4.559,91.2
app,78,4.453,89.1
examples,29,4.688,93.8
absolutely,206,4.547,90.9
charges,27,4.480,89.6
amount,102,4.501,90.0
pretty,260,4.482,89.6
patel,31,4.582,91.6
real,130,4.439,88.8
person,699,4.535,90.7
beta,2,4.600,92.0
giving,86,4.545,90.9
corner,33,4.594,91.9
jobs,456,4.520,90.4
budget,22,4.616,92.3
checker,6,4.600,92.0
satisfied,346,4.553,91.1
games,506,4.525,90.5
free,479,4.555,91.1
seating,36,4.517,90.3
leaders,30,4.417,88.3
chain,36,4.561,91.2
sjmsom,53,4.603,92.1
chaayos,4,3.962,79.2
despite,24,4.304,86.1
png,26,4.642,92.8
charge,30,4.370,87.4
building,306,4.530,90.6
hands,79,4.622,92.4
introducing,8,4.281,85.6
spread,88,4.523,90.5
separate,233,4.510,90.2
alumni,142,4.550,91.0
fee,136,4.448,89.0
recruiters,365,4.534,90.7
market,64,4.518,90.4
notch,157,4.506,90.1
elective,44,4.528,90.6
learning,426,4.588,91.8
selection,36,4.450,89.0
terms,235,4.509,90.2
reputed,172,4.560,91.2
business,239,4.535,90.7
marico,19,4.489,89.8
subsidized,14,4.518,90.4
paints,15,4.520,90.4
concerning,8,4.381,87.6
needs,181,4.548,91.0
agarwal,17,4.291,85.8
decent,396,4.505,90.1
mehta,84,4.555,91.1
roi,38,4.483,89.7
ccd,54,4.586,91.7
mba,192,4.507,90.1
school,152,4.580,91.6
amol,4,3.962,79.2
projects,358,4.509,90.2
across,212,4.532,90.6
shailesh,84,4.567,91.3
brands,14,4.461,89.2
art,130,4.569,91.4
outlets,63,4.534,90.7
analytics,193,4.610,92.2
state,145,4.559,91.2
asian,29,4.655,93.1
management,460,4.501,90.0
master,192,4.541,90.8
administration,174,4.523,90.5
legacy,6,4.308,86.2
specialization,14,4.418,88.4
respect,41,4.566,91.3
proper,210,4.532,90.6
prices,39,4.636,92.7
j,131,4.580,91.6
summer,142,4.550,91.0
guest,79,4.519,90.4
bad,210,4.404,88.1
amenities,99,4.581,91.6
ebay,4,3.962,79.2
qualities,40,4.264,85.3
recruit,133,4.579,91.6
review,420,4.512,90.2
institute,852,4.545,90.9
income,74,4.481,89.6
wish,129,4.520,90.4
improve,169,4.445,88.9
indian,487,4.540,90.8
technology,632,4.518,90.4
than,954,4.535,90.7
source,17,4.374,87.5
scholarship,133,4.498,90.0
getting,274,4.489,89.8
present,200,4.480,89.6
choose,353,4.562,91.2
therefore,35,4.440,88.8
avoided,2,4.300,86.0
even,500,4.548,91.0
government,159,4.501,90.0
apr,255,4.515,90.3
compulsory,65,4.642,92.8
t,782,4.513,90.3
startups,111,4.446,88.9
perfect,143,4.581,91.6
kind,181,4.609,92.2
already,55,4.524,90.5
volleyball,154,4.520,90.4
courts,236,4.550,91.0
ones,122,4.507,90.1
aditya,62,4.543,90.9
attendance,90,4.596,91.9
field,490,4.558,91.2
india,1038,4.598,92.0
willing,52,4.625,92.5
cracked,2,4.300,86.0
solve,98,4.508,90.2
thought,49,4.583,91.7
nbsp,153,4.430,88.6
indoor,229,4.585,91.7
malpractices,2,4.300,86.0
chill,34,4.588,91.8
shah,8,4.350,87.0
rare,22,4.564,91.3
further,140,4.457,89.1
parental,12,4.667,93.3
green,142,4.572,91.4
mar,275,4.569,91.4
prateek,14,4.743,94.9
nd,131,4.634,92.7
educated,169,4.605,92.1
survive,22,4.427,88.5
scale,19,4.721,94.4
properties,6,4.600,92.0
part,360,4.533,90.7
organized,114,4.518,90.4
yoga,23,4.670,93.4
software,438,4.578,91.6
everywhere,161,4.583,91.7
industries,146,4.553,91.1
actual,12,4.633,92.7
colleges,541,4.543,90.9
iits,358,4.632,92.6
taste,101,4.513,90.3
universities,316,4.557,91.1
belong,23,4.689,93.8
domestic,115,4.626,92.5
crore,445,4.560,91.2
scholarships,295,4.481,89.6
lan,239,4.565,91.3
learn,387,4.565,91.3
faang,11,4.582,91.6
outdoor,100,4.668,93.4
study,748,4.541,90.8
activities,720,4.574,91.5
metals,2,4.900,98.0
eating,21,4.748,95.0
how,257,4.504,90.1
p,294,4.538,90.8
vary,121,4.534,90.7
expectations,49,4.517,90.3
still,178,4.566,91.3
international,306,4.524,90.5
depending,109,4.552,91.0
foreign,271,4.619,92.4
actually,63,4.648,93.0
creating,8,4.750,95.0
both,352,4.594,91.9
fests,503,4.532,90.6
vibrant,44,4.622,92.4
cultural,480,4.601,92.0
extraction,4,4.850,97.0
gives,213,4.582,91.6
st,133,4.590,91.8
complete,113,4.601,92.0
environment,309,4.546,90.9
sharma,101,4.488,89.8
industrial,294,4.534,90.7
explore,195,4.577,91.5
branches,243,4.556,91.1
want,454,4.558,91.2
nits,16,4.541,90.8
play,144,4.529,90.6
happens,58,4.528,90.6
space,96,4.552,91.0
out,543,4.519,90.4
carried,15,4.903,98.1
fields,413,4.579,91.6
sport,170,4.568,91.4
nothing,70,4.461,89.2
firm,16,4.600,92.0
acres,164,4.588,91.8
case,141,4.553,91.1
its,612,4.550,91.0
literally,21,4.410,88.2
street,63,4.505,90.1
multiple,85,4.581,91.6
help,602,4.577,91.5
beautiful,225,4.601,92.0
day,356,4.539,90.8
greenery,95,4.611,92.2
attach,2,4.800,96.0
immense,42,4.571,91.4
dual,71,4.623,92.5
end,260,4.431,88.6
jay,6,4.600,92.0
whole,275,4.593,91.9
technical,397,4.558,91.2
ppos,66,4.620,92.4
dozens,6,4.800,96.0
struggle,12,4.650,93.0
varies,158,4.552,91.0
full,224,4.590,91.8
later,56,4.668,93.4
included,59,4.563,91.3
records,39,4.540,90.8
jane,47,4.485,89.7
another,96,4.603,92.1
hall,282,4.487,89.7
super,80,4.581,91.6
varieties,32,4.450,89.0
interns,52,4.616,92.3
eco,17,4.744,94.9
sector,235,4.548,91.0
different,526,4.540,90.8
aim,13,4.723,94.5
along,199,4.551,91.0
program,134,4.483,89.7
system,219,4.521,90.4
rathod,6,4.733,94.7
journals,77,4.525,90.5
hft,15,4.193,83.9
own,399,4.532,90.6
few,438,4.544,90.9
night,247,4.516,90.3
mainly,127,4.496,89.9
working,168,4.590,91.8
attend,115,4.473,89.5
sectors,147,4.544,90.9
papers,116,4.531,90.6
interest,338,4.589,91.8
each,553,4.566,91.3
friendly,296,4.552,91.0
seem,37,4.411,88.2
consult,26,4.515,90.3
texas,105,4.493,89.9
hire,82,4.620,92.4
meals,49,4.441,88.8
else,53,4.514,90.3
instruments,177,4.542,90.8
under,163,4.585,91.7
devices,40,4.560,91.2
reading,106,4.606,92.1
studying,168,4.513,90.3
newspapers,10,4.680,93.6
ton,4,4.550,91.0
departments,280,4.574,91.5
show,57,4.668,93.4
continuously,26,4.504,90.1
seek,7,4.743,94.9
choice,102,4.569,91.4
improving,45,4.306,86.1
little,231,4.497,89.9
libraries,219,4.601,92.0
would,383,4.555,91.1
above,270,4.505,90.1
gymkhana,65,4.596,91.9
network,129,4.590,91.8
cramped,12,4.233,84.7
discover,6,4.533,90.7
say,164,4.466,89.3
chemical,377,4.550,91.0
supportive,178,4.549,91.0
awesome,359,4.602,92.0
pratiksha,4,4.750,95.0
lecture,395,4.504,90.1
passable,4,4.250,85.0
once,87,4.522,90.4
interdisciplinary,42,4.510,90.2
lot,707,4.562,91.2
maybe,23,4.535,90.7
matter,45,4.507,90.1
bagged,26,4.685,93.7
grow,48,4.686,93.7
enabled,128,4.552,91.0
group,120,4.557,91.1
hospital,459,4.573,91.5
sense,18,4.197,83.9
grand,10,4.620,92.4
peer,40,4.647,93.0
extremely,154,4.625,92.5
entire,129,4.545,90.9
leaves,11,4.073,81.5
into,258,4.554,91.1
kapoor,4,4.600,92.0
lies,26,4.619,92.4
these,381,4.523,90.5
generally,187,4.551,91.0
need,405,4.543,90.9
engaging,13,4.550,91.0
figure,21,4.579,91.6
complexes,43,4.552,91.0
dedicated,96,4.599,92.0
l,139,4.496,89.9
small,237,4.502,90.0
before,159,4.507,90.1
city,120,4.607,92.1
know,329,4.514,90.3
nice,323,4.525,90.5
adani,10,4.460,89.2
expected,116,4.468,89.4
effort,77,4.396,87.9
host,18,4.644,92.9
cream,13,4.585,91.7
engineer,293,4.543,90.9
table,231,4.522,90.4
feb,306,4.547,90.9
lakshya,6,4.533,90.7
largest,182,4.613,92.3
supreme,8,4.750,95.0
everyone,342,4.591,91.8
could,190,4.533,90.7
reviewer,2,4.600,92.0
okay,127,4.383,87.7
sbi,18,4.733,94.7
festival,112,4.605,92.1
over,435,4.587,91.7
air,622,4.556,91.1
why,72,4.544,90.9
connectivity,240,4.593,91.9
asia,154,4.657,93.1
waived,6,4.867,97.3
tuition,30,4.620,92.4
design,200,4.510,90.2
median,151,4.487,89.7
institutions,78,4.556,91.1
plenty,60,4.585,91.7
jain,89,4.575,91.5
worth,132,4.533,90.7
such,441,4.583,91.7
goes,120,4.495,89.9
sc,294,4.526,90.5
manager,153,4.582,91.6
conditioning,69,4.545,90.9
think,235,4.569,91.4
music,132,4.558,91.2
lakhs,221,4.594,91.9
common,170,4.518,90.4
dlf,2,4.600,92.0
equipment,308,4.583,91.7
tennis,281,4.563,91.3
irrelevant,30,4.453,89.1
pool,264,4.575,91.5
grades,124,4.525,90.5
private,82,4.535,90.7
structural,28,4.629,92.6
consultancy,122,4.598,92.0
