ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
processing batch,22,4.445,88.9
hostel infrastructure,38,4.553,91.1
people take,2,4.300,86.0
faculty crowd,2066,4.543,90.9
and any,12,4.300,86.0
par with,57,4.557,91.1
course is,515,4.491,89.8
this course,763,4.521,90.4
something around,5,4.560,91.2
development of,69,4.642,92.8
the range,18,4.392,87.8
strength as,4,4.300,86.0
to take,181,4.528,90.6
bit old,34,4.424,88.5
professor mostly,3,3.467,69.3
for infrastructure,3,4.333,86.7
lectures and,43,4.526,90.5
and this,66,4.530,90.6
and you,260,4.549,91.0
amp campus,2066,4.543,90.9
m tech,521,4.566,91.3
about those,6,4.367,87.3
opportunities from,8,4.600,92.0
like mood,20,4.675,93.5
feel ee,2,4.300,86.0
offered was,441,4.534,90.7
equipped with,352,4.580,91.6
up the,22,4.364,87.3
on campus,323,4.470,89.4
life and,71,4.620,92.4
the students,1107,4.559,91.2
schools since,2,4.300,86.0
research oriented,66,4.613,92.3
same pattern,2,4.300,86.0
oct read,251,4.517,90.3
everything is,210,4.597,91.9
course many,21,4.562,91.2
to percent,30,4.377,87.5
other ee,2,4.300,86.0
highly qualified,532,4.567,91.3
civil services,38,4.418,88.4
nemani integrated,2,4.300,86.0
some issues,8,4.450,89.0
wi fi,1488,4.551,91.0
pattern but,2,4.300,86.0
campus placement,42,4.410,88.2
course they,30,4.680,93.6
we go,10,4.440,88.8
domains including,4,4.550,91.0
a central,94,4.599,92.0
in the,1676,4.550,91.0
you go,18,4.511,90.2
role infrastructure,3,4.333,86.7
in civil,431,4.574,91.5
dinner is,3,4.600,92.0
development cse,2,4.300,86.0
all states,2,4.500,90.0
the mess,564,4.566,91.3
and paper,4,4.600,92.0
with top,18,4.336,86.7
way as,2,4.300,86.0
ee branch,6,4.700,94.0
coming up,8,4.475,89.5
i have,337,4.534,90.7
of to,22,4.443,88.9
semester examination,9,4.489,89.8
a sweet,4,4.050,81.0
batch strength,19,4.453,89.1
faculty members,872,4.570,91.4
infrastructure faculty,2067,4.543,90.9
rd year,107,4.535,90.7
spend on,2,4.300,86.0
shlok nemani,2,4.300,86.0
issues in,6,4.483,89.7
student should,6,4.600,92.0
to slightly,5,4.640,92.8
higher batch,2,4.300,86.0
with wi,107,4.630,92.6
are coming,18,4.453,89.1
so it,99,4.562,91.2
college faculty,118,4.507,90.1
celebrated in,5,4.400,88.0
my college,232,4.479,89.6
go through,14,4.400,88.0
top role,67,4.567,91.3
college has,361,4.549,91.0
opportunities for,101,4.602,92.0
to internship,3,4.400,88.0
room tv,14,4.571,91.4
members are,476,4.568,91.4
be much,16,4.338,86.8
as well,505,4.546,90.9
depends on,221,4.499,90.0
major festivals,6,4.800,96.0
they do,66,4.567,91.3
teaching is,157,4.582,91.6
should expect,2,4.300,86.0
mncs here,2,4.300,86.0
too like,7,4.514,90.3
and then,58,4.361,87.2
all kinds,83,4.558,91.2
my jee,44,4.395,87.9
good time,13,4.631,92.6
ready if,6,4.500,90.0
around to,60,4.510,90.2
a department,10,4.200,84.0
campus if,6,4.300,86.0
exams pen,2,4.300,86.0
read more,2103,4.545,90.9
the interviews,14,4.529,90.6
b tech,1557,4.545,90.9
internship or,11,4.545,90.9
in their,525,4.555,91.1
in communication,26,4.435,88.7
a special,21,4.581,91.6
life placements,104,4.492,89.8
industry ready,460,4.515,90.3
indigo and,44,4.636,92.7
mostly the,24,4.400,88.0
for civil,38,4.537,90.7
with opportunities,8,4.525,90.5
got a,100,4.600,92.0
placements and,286,4.520,90.4
to be,497,4.493,89.9
internship top,11,4.673,93.5
in college,139,4.510,90.2
where all,20,4.490,89.8
paper so,4,4.400,88.0
keep happening,7,4.600,92.0
average ctc,27,4.630,92.6
faculty faculty,382,4.556,91.1
in enough,4,4.500,90.0
here for,88,4.608,92.2
things you,14,4.514,90.3
central library,190,4.613,92.3
many opportunities,71,4.608,92.2
they are,949,4.551,91.0
well as,299,4.550,91.0
great campus,22,4.300,86.0
finance being,2,4.300,86.0
get placements,44,4.441,88.8
like you,29,4.359,87.2
studies too,3,4.200,84.0
and highly,75,4.603,92.1
moderate to,27,4.541,90.8
for sure,12,4.500,90.0
subjects they,25,4.484,89.7
so there,64,4.569,91.4
then you,79,4.496,89.9
offered is,459,4.585,91.7
top professors,4,4.300,86.0
there are,1188,4.560,91.2
faculty it,35,4.533,90.7
fully equipped,62,4.442,88.8
facilities like,188,4.565,91.3
to cse,9,4.289,85.8
like teaching,2,4.300,86.0
for students,472,4.544,90.9
put in,36,4.483,89.7
take integrated,2,4.300,86.0
provided in,97,4.521,90.4
four years,29,4.614,92.3
of books,256,4.570,91.4
and other,316,4.584,91.7
to the,835,4.550,91.0
festivals are,17,4.859,97.2
electrical engineering,396,4.580,91.6
buildings are,60,4.496,89.9
life value,2067,4.543,90.9
is in,162,4.559,91.2
and students,228,4.518,90.4
work with,62,4.577,91.5
and techfest,29,4.621,92.4
s mostly,2,4.300,86.0
in many,72,4.591,91.8
the exams,188,4.573,91.5
level is,20,4.587,91.7
new residential,2,4.300,86.0
too semester,7,4.771,95.4
higher studies,314,4.532,90.6
including core,4,4.550,91.0
and internships,74,4.470,89.4
of placements,1923,4.546,90.9
many regards,2,4.300,86.0
fi and,156,4.495,89.9
thrown open,2,4.300,86.0
in that,66,4.545,90.9
is the,976,4.569,91.4
are quite,233,4.498,90.0
be industry,14,4.529,90.6
in varied,2,4.300,86.0
to time,57,4.608,92.2
year course,6,4.200,84.0
and ac,14,4.614,92.3
i got,114,4.518,90.4
enough for,47,4.529,90.6
any country,3,4.533,90.7
range of,126,4.539,90.8
are helpful,256,4.561,91.2
be more,42,4.585,91.7
good in,299,4.551,91.0
reviewed on,2103,4.545,90.9
is provided,133,4.542,90.8
other facilities,81,4.579,91.6
open to,44,4.618,92.4
package offered,861,4.552,91.0
feel like,18,4.456,89.1
do get,27,4.519,90.4
really good,309,4.582,91.6
that regard,6,4.333,86.7
they put,8,4.600,92.0
events and,167,4.521,90.4
sure of,4,4.400,88.0
the existing,2,4.300,86.0
at a,91,4.602,92.0
integrated year,2,4.300,86.0
placed the,383,4.535,90.7
and a,559,4.544,90.9
infrastructure development,3,4.667,93.3
a library,131,4.551,91.0
ctc is,13,4.469,89.4
lpa and,619,4.529,90.6
done in,33,4.438,88.8
got placed,663,4.565,91.3
students so,27,4.635,92.7
old so,16,4.300,86.0
more research,14,4.500,90.0
can approach,13,4.446,88.9
with what,10,4.460,89.2
placements during,13,4.362,87.2
department will,6,4.233,84.7
rank i,17,4.318,86.4
of opportunities,123,4.599,92.0
batch of,2103,4.545,90.9
money m,8,4.500,90.0
department boasted,4,4.700,94.0
recruitment are,6,4.700,94.0
world class,314,4.664,93.3
bombay in,15,4.533,90.7
good practical,16,4.669,93.4
on aug,180,4.534,90.7
high at,4,4.700,94.0
are highly,533,4.593,91.9
qualified experienced,12,4.842,96.8
and good,218,4.551,91.0
food is,711,4.525,90.5
very high,186,4.549,91.0
placements i,173,4.515,90.3
challenging requiring,6,4.633,92.7
stress the,4,4.700,94.0
labs smart,10,4.600,92.0
and easily,8,4.675,93.5
this helpful,1034,4.547,90.9
computer science,520,4.568,91.4
hygienic and,45,4.627,92.5
experienced and,99,4.601,92.0
like ai,8,4.550,91.0
smart classrooms,23,4.400,88.0
in computer,421,4.572,91.4
with good,255,4.573,91.5
amazon and,57,4.580,91.6
qualcomm adobe,5,4.640,92.8
class library,20,4.700,94.0
and systems,10,4.815,96.3
rate is,39,4.472,89.4
of candidates,6,4.767,95.3
like reviewed,2,4.175,83.5
are easily,41,4.652,93.0
experience at,34,4.647,92.9
infrastructure cse,6,4.667,93.3
that come,34,4.416,88.3
did my,10,4.800,96.0
good infrastructure,320,4.547,90.9
tech experience,4,4.700,94.0
housekeeping mess,4,4.700,94.0
the teaching,448,4.554,91.1
microsoft amazon,75,4.613,92.3
a focus,6,4.567,91.3
members and,103,4.577,91.5
