ngram,reviews_mentioning_ngram,avg_rating_0_5,avg_rating_percent
hostel infrastructure is,24,4.633,92.7
a good college,60,4.493,89.9
like you can,9,3.956,79.1
students from my,19,4.411,88.2
branch with opportunities,2,4.300,86.0
and signal processing,22,4.445,88.9
sweet spot compared,2,4.300,86.0
placements and internships,40,4.440,88.8
good time to,5,4.440,88.8
to higher batch,2,4.300,86.0
i got a,16,4.425,88.5
will be much,2,4.300,86.0
domains including core,2,4.300,86.0
is provided in,19,4.532,90.6
put in enough,2,4.300,86.0
level is moderate,3,4.400,88.0
integrated year course,2,4.300,86.0
should be mentally,2,4.300,86.0
be more research,4,4.150,83.0
good in the,37,4.499,90.0
about those things,2,4.300,86.0
par with what,2,4.300,86.0
you get to,46,4.534,90.7
the students so,3,4.267,85.3
fully equipped with,23,4.478,89.6
are available the,44,4.565,91.3
can approach them,9,4.333,86.7
done in the,6,4.000,80.0
course they do,2,4.300,86.0
the food and,9,4.394,87.9
get all the,22,4.823,96.5
books are available,34,4.594,91.9
a data scientist,7,4.429,88.6
i feel ee,2,4.300,86.0
mostly the lectures,2,4.300,86.0
be much better,14,4.329,86.6
highest package offered,181,4.478,89.6
project based course,2,4.300,86.0
you get many,4,4.500,90.0
no dearth of,2,4.300,86.0
and finance being,2,4.300,86.0
schools since it,2,4.300,86.0
like the same,2,4.300,86.0
in many regards,2,4.300,86.0
research oriented and,18,4.600,92.0
and curriculum becomes,2,4.300,86.0
get placements and,5,4.640,92.8
of placements infrastructure,1910,4.546,90.9
well as if,2,4.300,86.0
be mentally prepared,2,4.300,86.0
things you get,2,4.300,86.0
to percent other,2,4.250,85.0
b tech in,1469,4.549,91.0
in that regard,6,4.333,86.7
buildings are coming,2,4.300,86.0
college faculty it,2,4.300,86.0
good college faculty,2,4.300,86.0
student should least,2,4.300,86.0
new residential buildings,2,4.300,86.0
to cse in,2,4.300,86.0
consulting and finance,13,4.558,91.2
of books are,16,4.525,90.5
for money four,3,4.667,93.3
for higher studies,217,4.570,91.4
professors in varied,2,4.300,86.0
and students should,2,4.300,86.0
development cse consulting,2,4.300,86.0
they put in,3,4.533,90.7
wi fi and,156,4.495,89.9
package offered is,390,4.591,91.8
infrastructure faculty crowd,2066,4.543,90.9
get to work,6,4.467,89.3
life value for,2067,4.543,90.9
the same way,4,4.400,88.0
so there are,14,4.486,89.7
money great campus,6,4.167,83.3
and you get,27,4.570,91.4
placements placements are,117,4.524,90.5
interviews i feel,2,4.300,86.0
opportunities from all,2,4.300,86.0
from iit bombay,19,4.716,94.3
college faculty faculty,15,4.507,90.1
being thrown open,2,4.300,86.0
and internships and,8,4.125,82.5
course is enough,2,4.300,86.0
at my college,21,4.286,85.7
signal processing batch,22,4.445,88.9
in college faculty,9,4.228,84.6
in varied domains,2,4.300,86.0
the schools since,2,4.300,86.0
from my department,11,4.509,90.2
any student should,2,4.300,86.0
better due to,2,4.300,86.0
faculty faculty members,237,4.548,91.0
me to take,7,4.657,93.1
placements are really,20,4.670,93.4
including core development,2,4.300,86.0
campus if they,2,4.300,86.0
students to be,8,4.475,89.5
coming up the,2,4.300,86.0
engineering m tech,62,4.535,90.7
worry about those,2,4.300,86.0
more project based,2,4.300,86.0
college has a,103,4.556,91.1
fi and ac,5,4.440,88.8
may feel like,2,4.300,86.0
percent other i,8,4.588,91.8
crowd amp campus,2066,4.543,90.9
chosen this course,72,4.621,92.4
campus life and,29,4.566,91.3
do get an,4,4.150,83.0
a department will,2,4.300,86.0
i have chosen,96,4.593,91.9
as we go,2,4.300,86.0
pen and paper,2,4.300,86.0
be industry ready,12,4.450,89.0
much better due,2,4.300,86.0
in electrical engineering,381,4.574,91.5
opportunities to be,8,4.619,92.4
core development cse,2,4.300,86.0
students so no,2,4.300,86.0
the average ctc,19,4.571,91.4
offered is lpa,270,4.570,91.4
same way as,2,4.300,86.0
reviewed on oct,251,4.517,90.3
teaching is done,11,4.509,90.2
of students from,42,4.635,92.7
on my jee,5,3.960,79.2
for that academic,2,4.300,86.0
if people take,2,4.300,86.0
during campus placement,3,4.667,93.3
indigo and techfest,25,4.672,93.4
for sure of,2,4.300,86.0
while new residential,2,4.300,86.0
highly qualified in,20,4.400,88.0
is done in,8,4.375,87.5
other ee as,2,4.300,86.0
and paper so,2,4.300,86.0
this course based,5,4.280,85.6
more s shlok,2,4.300,86.0
in enough work,2,4.300,86.0
spend on the,2,4.300,86.0
same pattern but,2,4.300,86.0
people take integrated,2,4.300,86.0
enough work other,2,4.300,86.0
room tv room,14,4.571,91.4
ee is at,2,4.300,86.0
existing hostel infrastructure,2,4.300,86.0
get an extra,2,4.300,86.0
s mostly the,2,4.300,86.0
read more s,324,4.465,89.3
domains placements placements,2,4.300,86.0
to take this,3,4.600,92.0
placements infrastructure faculty,2067,4.543,90.9
to work with,18,4.558,91.2
industry ready if,6,4.500,90.0
campus life value,2067,4.543,90.9
you go through,4,4.500,90.0
curriculum becomes more,2,4.300,86.0
average ctc is,5,4.460,89.2
tech in electrical,359,4.586,91.7
other facilities like,9,4.622,92.4
course many events,5,4.760,95.2
food and other,3,4.467,89.3
should least worry,2,4.300,86.0
ee as a,2,4.300,86.0
companies for civil,3,4.667,93.3
to the students,213,4.541,90.8
students should expect,2,4.300,86.0
it s mostly,2,4.300,86.0
the campus if,2,4.300,86.0
with wi fi,107,4.630,92.6
library is at,2,4.300,86.0
nemani integrated b,2,4.300,86.0
due to higher,4,4.300,86.0
of a sweet,2,4.300,86.0
has a central,15,4.427,88.5
the highest package,743,4.519,90.4
work with top,4,3.712,74.2
they are helpful,38,4.600,92.0
in the ee,4,4.550,91.0
got internship top,3,4.467,89.3
those things you,2,4.300,86.0
infrastructure is a,6,4.567,91.3
and highly qualified,46,4.570,91.4
as well as,295,4.557,91.1
bit of a,8,4.225,84.5
the interviews i,2,4.300,86.0
central library where,7,4.657,93.1
for civil services,11,4.364,87.3
in their subjects,15,4.347,86.9
but after rd,4,4.350,87.0
thrown open to,2,4.300,86.0
after rd year,8,4.625,92.5
open to the,2,4.300,86.0
and a library,30,4.477,89.5
is in the,37,4.491,89.8
at a bit,2,4.300,86.0
way as we,2,4.300,86.0
is a bit,80,4.471,89.4
electrical engineering m,34,4.494,89.9
mncs here for,2,4.300,86.0
mostly it is,3,4.333,86.7
of opportunities for,23,4.622,92.4
depends on the,115,4.487,89.7
from all the,15,4.603,92.1
focus on core,6,4.633,92.7
at iit bombay,99,4.525,90.5
stress the course,4,4.700,94.0
and campus life,21,4.514,90.3
requiring in depth,4,4.700,94.0
aug read more,180,4.534,90.7
samsung r amp,6,4.667,93.3
canteen options medical,4,4.700,94.0
of students got,424,4.537,90.7
accessible the campus,4,4.700,94.0
are easily accessible,26,4.590,91.8
more people found,573,4.594,91.9
pass rate is,6,4.667,93.3
topics like ai,4,4.700,94.0
for recruitment are,6,4.700,94.0
read more people,573,4.594,91.9
depth knowledge the,4,4.700,94.0
the teaching is,34,4.574,91.5
world class facilities,54,4.656,93.1
support is very,4,4.700,94.0
is very high,64,4.558,91.2
bombay in of,4,4.700,94.0
and access to,7,4.686,93.7
amp d overall,4,4.700,94.0
faculty teachers are,383,4.543,90.9
facilities with x,4,4.700,94.0
top companies that,17,4.776,95.5
systems semester exams,4,4.700,94.0
the lowest is,165,4.609,92.2
fi world class,4,4.700,94.0
in depth knowledge,26,4.646,92.9
core and emerging,4,4.700,94.0
i did my,10,4.800,96.0
academic guidance from,4,4.700,94.0
nvidia approximately of,4,4.700,94.0
m tech experience,4,4.700,94.0
are hygienic with,4,4.700,94.0
experienced and easily,4,4.700,94.0
reviewed on aug,180,4.534,90.7
housekeeping mess food,4,4.700,94.0
iit bombay placements,165,4.545,90.9
class labs smart,4,4.700,94.0
placed for internships,6,4.600,92.0
gym and recreational,4,4.700,94.0
at microsoft qualcomm,4,4.700,94.0
world class labs,20,4.680,93.6
guidance from teachers,4,4.700,94.0
cse department boasted,4,4.700,94.0
and good with,8,4.725,94.5
with good practical,4,4.700,94.0
classrooms and access,5,4.680,93.6
members and campus,4,4.700,94.0
hygienic and good,10,4.685,93.7
life placements i,5,4.760,95.2
come for recruitment,18,4.706,94.1
ml and systems,4,4.700,94.0
library hostels are,12,4.750,95.0
x wi fi,12,4.633,92.7
mess food is,327,4.542,90.8
good with two,4,4.700,94.0
experience at iit,18,4.578,91.6
grounds gym and,6,4.600,92.0
fazil ashraf m,4,4.700,94.0
smart classrooms and,9,4.622,92.4
and the lowest,538,4.544,90.9
approximately of students,48,4.588,91.8
like ai ml,4,4.700,94.0
excellent academic guidance,4,4.700,94.0
microsoft amazon and,10,4.740,94.8
to a world,4,4.700,94.0
lpa top companies,31,4.471,89.4
qualcomm adobe and,4,4.700,94.0
tech in computer,406,4.571,91.4
medical facilities are,272,4.509,90.2
is of excellent,4,4.700,94.0
facilities faculty teachers,31,4.594,91.9
money m tech,6,4.533,90.7
high at with,4,4.700,94.0
are highly qualified,357,4.577,91.5
with a focus,4,4.700,94.0
a world class,40,4.750,95.0
very good infrastructure,64,4.466,89.3
exams are moderately,24,4.442,88.8
very high at,4,4.700,94.0
good infrastructure cse,4,4.700,94.0
found this helpful,1034,4.547,90.9
like reviewed on,2,4.175,83.5
in cse from,4,4.700,94.0
boasted world class,4,4.700,94.0
is lpa top,101,4.570,91.4
moderately challenging requiring,4,4.700,94.0
practical as well,6,4.667,93.3
clean rooms and,8,4.588,91.8
teachers are highly,153,4.534,90.7
tech experience at,4,4.700,94.0
on aug read,180,4.534,90.7
campus boasted world,4,4.700,94.0
computer science and,400,4.573,91.5
is hygienic and,6,4.733,94.7
recreational facilities faculty,4,4.700,94.0
internships at microsoft,8,4.475,89.5
wi fi world,4,4.700,94.0
sports grounds gym,6,4.600,92.0
placements faculty members,6,4.567,91.3
cse from iit,4,4.700,94.0
package is lpa,175,4.495,89.9
internet clean rooms,4,4.700,94.0
my m tech,10,4.820,96.4
hostels are hygienic,4,4.700,94.0
google microsoft amazon,51,4.639,92.8
with x wi,4,4.700,94.0
emerging topics like,4,4.700,94.0
that come for,22,4.368,87.4
got placed for,11,4.627,92.5
is lpa average,8,4.475,89.5
with excellent academic,4,4.700,94.0
companies that come,28,4.489,89.8
labs smart classrooms,8,4.550,91.0
the campus boasted,4,4.700,94.0
faculty members and,94,4.583,91.7
for money m,8,4.500,90.0
in computer science,402,4.573,91.5
lpa average is,10,4.560,91.2
and engineering batch,479,4.569,91.4
placement support is,4,4.700,94.0
class library hostels,4,4.700,94.0
hygienic with x,4,4.700,94.0
amazon and nvidia,4,4.700,94.0
accessible the teaching,4,4.700,94.0
practically based with,4,4.700,94.0
easily accessible the,4,4.700,94.0
microsoft qualcomm adobe,5,4.640,92.8
of excellent quality,6,4.767,95.3
and housekeeping mess,4,4.700,94.0
tech in cse,4,4.700,94.0
x internet clean,4,4.700,94.0
r amp d,50,4.567,91.3
lowest is lpa,55,4.627,92.5
with two canteen,4,4.700,94.0
this helpful f,2,4.800,96.0
department boasted world,4,4.700,94.0
quality with good,6,4.800,96.0
a focus on,6,4.567,91.3
is practically based,4,4.700,94.0
qualified experienced and,12,4.842,96.8
two canteen options,4,4.700,94.0
highly qualified experienced,8,4.763,95.2
adobe and samsung,4,4.700,94.0
helpful f fazil,2,4.800,96.0
ashraf m tech,4,4.700,94.0
engineering batch of,1541,4.556,91.1
excellent quality with,6,4.767,95.3
science and engineering,483,4.569,91.4
and samsung r,4,4.700,94.0
the pass rate,6,4.667,93.3
f fazil ashraf,4,4.700,94.0
with x internet,4,4.700,94.0
campus life placements,44,4.473,89.5
world class sports,30,4.628,92.6
rooms and housekeeping,4,4.700,94.0
students got placed,429,4.524,90.5
good practical as,4,4.700,94.0
are moderately challenging,4,4.700,94.0
theoretical stress the,4,4.700,94.0
access to a,10,4.710,94.2
ai ml and,10,4.460,89.2
as theoretical stress,4,4.700,94.0
and emerging topics,4,4.700,94.0
semester exams are,492,4.531,90.6
and easily accessible,4,4.700,94.0
highest package is,242,4.494,89.9
based with a,4,4.700,94.0
knowledge the pass,4,4.700,94.0
rate is very,12,4.550,91.0
people found this,595,4.588,91.8
food is hygienic,12,4.683,93.7
teaching is of,6,4.733,94.7
iit bombay in,15,4.533,90.7
on core and,4,4.700,94.0
and nvidia approximately,4,4.700,94.0
of candidates got,4,4.700,94.0
class sports grounds,4,4.700,94.0
placements i did,8,4.750,95.0
and systems semester,4,4.700,94.0
well as theoretical,8,4.656,93.1
class facilities with,6,4.633,92.7
candidates got placed,8,4.600,92.0
options medical facilities,4,4.700,94.0
recruitment are google,4,4.700,94.0
and recreational facilities,4,4.700,94.0
in of candidates,4,4.700,94.0
are google microsoft,51,4.614,92.3
bombay placements faculty,4,4.700,94.0
is very good,528,4.555,91.1
facilities are easily,6,4.767,95.3
at with excellent,4,4.700,94.0
overall placement support,4,4.700,94.0
challenging requiring in,4,4.700,94.0
did my m,6,4.733,94.7
infrastructure cse department,6,4.667,93.3
